race,sex,age_cat,decile_score,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,score_text,length_of_stay,two_year_recid
0,1,1,3,0,-1.0,0,1,0,10,1
0,1,0,4,4,-1.0,0,1,0,1,1
1,1,1,6,14,-1.0,0,1,1,6,1
1,0,1,1,0,-1.0,1,0,0,2,0
1,1,1,4,0,-1.0,0,0,0,1,0
0,1,0,6,3,0.0,1,1,1,4,1
1,0,1,1,0,0.0,1,0,0,0,0
0,1,1,4,0,-1.0,0,0,0,0,0
1,0,2,1,1,-20.0,0,1,0,14,1
0,1,1,3,7,22.0,0,1,0,3,1
0,1,1,10,3,-1.0,0,0,2,1,0
1,1,1,5,6,-1.0,0,1,1,1,1
1,1,1,3,5,-1.0,0,1,0,1,1
0,1,2,6,13,-1.0,0,1,1,1,1
0,1,0,9,1,-1.0,0,1,2,3,1
1,1,1,2,0,0.0,1,1,0,0,1
1,0,0,4,0,-2.0,0,0,0,1,0
1,1,1,1,1,-1.0,1,0,0,1,0
0,1,1,3,8,-1.0,0,1,0,17,1
0,1,1,7,5,-1.0,0,1,1,0,1
0,1,1,10,0,0.0,0,1,2,37,1
1,1,1,9,9,0.0,0,1,2,44,1
0,1,1,8,4,-1.0,0,1,2,1,1
1,1,2,1,0,-1.0,0,0,0,2,0
1,0,1,5,4,-1.0,1,1,1,11,1
1,1,0,2,1,0.0,1,1,0,1,1
0,1,1,9,21,0.0,0,1,2,33,1
1,1,1,2,0,0.0,1,0,0,-1,0
0,0,0,8,2,-1.0,0,0,2,79,0
0,1,2,1,2,-1.0,1,0,0,1,0
1,1,1,2,2,-1.0,1,1,0,0,1
0,0,2,2,7,-1.0,0,0,0,1,0
0,1,1,7,0,0.0,0,1,1,0,1
1,1,1,10,9,-1.0,1,1,2,6,1
0,1,1,8,13,-1.0,0,1,2,0,1
1,1,2,1,0,0.0,1,0,0,0,0
0,1,1,4,0,0.0,0,0,0,0,0
1,1,1,2,1,-24.0,0,1,0,0,1
0,1,1,5,15,-1.0,0,1,1,135,0
0,1,0,4,2,-1.0,0,1,0,1,1
0,1,2,1,4,-1.0,1,0,0,0,0
1,1,2,5,8,-13.0,0,0,1,13,0
0,1,1,3,5,-1.0,0,0,0,0,0
0,1,1,10,15,-1.0,0,1,2,1,1
1,1,1,2,4,-1.0,1,1,0,1,1
0,1,0,4,1,-1.0,0,1,0,1,1
0,1,1,9,4,-1.0,0,1,2,18,1
0,1,1,6,6,0.0,0,1,1,30,1
0,0,2,1,0,0.0,1,0,0,3,0
0,1,1,4,1,-1.0,1,0,0,4,0
0,1,1,6,5,0.0,0,1,1,1,1
1,1,1,6,1,-1.0,0,1,1,14,1
0,1,1,2,2,-15.0,0,0,0,3,0
0,1,0,3,1,0.0,1,1,0,16,1
1,1,0,8,0,-1.0,0,0,2,57,0
0,0,1,4,1,-1.0,0,1,0,2,1
0,1,1,2,0,-1.0,0,0,0,1,0
0,1,1,2,1,-1.0,1,0,0,1,0
0,1,1,10,8,-1.0,1,1,2,1,1
0,1,1,10,14,-1.0,0,1,2,7,1
0,1,0,9,2,0.0,0,1,2,30,1
0,0,1,2,1,-1.0,1,0,0,0,0
0,1,1,7,9,0.0,0,1,1,3,1
1,1,1,8,7,0.0,0,1,2,0,1
1,1,1,8,9,-1.0,0,1,2,0,1
1,0,0,7,0,-1.0,0,0,1,0,0
1,1,1,1,2,-2.0,0,1,0,-1,1
1,0,2,1,0,0.0,1,0,0,0,0
0,1,0,4,1,-10.0,1,1,0,9,1
0,1,1,2,1,-1.0,0,0,0,0,0
1,0,1,1,0,-1.0,0,1,0,1,1
1,1,0,6,8,-1.0,0,1,1,12,1
1,1,1,4,0,-1.0,0,0,0,5,0
1,1,1,5,0,-1.0,1,0,1,38,0
1,0,1,4,1,-1.0,0,0,0,106,0
1,1,1,1,1,-30.0,0,0,0,1,0
0,1,0,9,3,-1.0,0,1,2,6,1
1,1,1,4,5,-1.0,1,1,0,2,1
1,1,1,5,0,0.0,0,0,1,14,0
0,1,1,5,5,0.0,0,1,1,0,1
0,1,1,2,3,0.0,0,0,0,1,0
1,1,1,2,1,0.0,0,1,0,0,1
0,1,1,9,10,0.0,0,1,2,176,1
0,1,0,4,0,-1.0,0,1,0,0,1
0,1,1,8,28,-1.0,0,1,2,1,1
0,1,1,7,1,-1.0,1,0,1,1,0
1,1,1,10,13,-1.0,0,1,2,471,1
0,1,1,9,3,-1.0,0,1,2,0,1
1,1,2,9,3,-2.0,1,0,2,0,0
0,1,1,10,19,-1.0,0,1,2,0,1
1,1,1,3,6,-4.0,0,0,0,-1,0
1,0,1,4,2,-1.0,0,0,0,3,0
1,1,1,2,1,-20.0,1,0,0,3,0
1,1,1,2,0,-1.0,1,1,0,0,1
0,0,0,2,0,-1.0,1,0,0,2,0
1,0,1,4,10,-1.0,0,1,0,7,1
1,1,1,2,2,0.0,1,1,0,-1,1
0,1,1,7,3,-1.0,0,1,1,8,1
1,1,1,3,2,-16.0,1,1,0,15,1
0,1,1,2,1,-1.0,1,1,0,1,0
1,1,2,2,1,-1.0,0,1,0,0,1
0,0,0,10,1,0.0,0,0,2,2,0
1,0,1,1,0,0.0,1,0,0,0,0
0,1,1,8,9,-1.0,0,1,2,13,1
0,1,1,6,11,-2.0,0,1,1,1,1
0,1,1,5,8,-1.0,1,1,1,0,1
0,0,1,3,0,-1.0,0,1,0,1,1
0,0,1,9,7,-1.0,0,1,2,26,1
0,1,1,9,2,-1.0,0,1,2,1,1
0,0,0,6,0,0.0,0,0,1,0,0
1,0,1,6,0,-2.0,1,0,1,0,0
0,0,2,1,1,-1.0,0,1,0,0,1
0,0,1,10,4,-7.0,0,1,2,6,1
0,0,1,4,2,-1.0,1,1,0,0,1
1,1,1,4,1,-1.0,1,0,0,3,0
1,0,1,7,3,0.0,0,1,1,530,1
0,1,1,7,1,0.0,0,0,1,70,0
1,1,2,2,2,-1.0,1,0,0,0,0
0,1,0,2,1,-1.0,0,0,0,0,0
1,1,2,1,6,22.0,0,1,0,22,1
1,1,1,5,0,0.0,0,0,1,2,0
0,1,1,2,1,-1.0,1,1,0,1,1
0,0,1,7,5,-1.0,0,0,1,1,0
0,1,2,4,8,0.0,0,0,0,15,0
0,1,1,6,6,-1.0,1,1,1,0,1
1,1,2,1,1,-1.0,1,1,0,0,1
1,1,2,1,0,-1.0,0,0,0,1,0
0,1,0,5,1,0.0,0,1,1,0,1
0,1,2,8,23,-1.0,1,1,2,0,1
0,1,0,2,0,-1.0,1,1,0,1,1
0,1,2,1,3,-10.0,0,1,0,2,0
1,1,2,4,8,0.0,1,1,0,71,1
0,1,1,9,2,0.0,1,1,2,0,1
1,1,1,4,0,0.0,0,1,0,0,1
0,1,1,9,9,0.0,0,1,2,79,1
1,1,2,3,2,-1.0,0,0,0,358,0
0,1,0,3,0,-1.0,0,1,0,0,1
0,1,1,2,2,0.0,1,1,0,25,0
0,0,0,4,1,-1.0,1,0,0,0,0
1,1,2,1,1,-4.0,0,0,0,1,0
1,0,1,3,0,-1.0,1,0,0,0,0
1,1,1,4,4,0.0,1,0,0,1,0
0,0,1,9,23,-1.0,0,1,2,2,1
0,1,1,10,2,-1.0,0,1,2,1,1
0,1,1,2,0,-1.0,1,0,0,2,0
0,0,1,8,0,0.0,0,0,2,29,0
1,0,1,9,7,-1.0,0,1,2,1,1
0,1,1,1,2,-1.0,0,0,0,1,0
0,0,1,9,1,-1.0,0,0,2,38,0
1,1,2,1,7,-1.0,0,1,0,0,1
0,1,1,9,15,-1.0,0,0,2,1,0
0,1,1,5,2,-1.0,1,0,1,0,0
1,0,2,1,0,-1.0,1,1,0,0,1
1,1,2,2,0,-1.0,1,0,0,0,0
0,1,2,1,0,-1.0,0,0,0,1,0
1,1,1,3,4,0.0,0,1,0,1,1
0,0,1,7,2,-1.0,0,0,1,2,0
0,0,1,6,5,0.0,1,0,1,0,0
0,1,1,10,11,-1.0,0,1,2,223,1
0,1,1,1,0,-1.0,1,1,0,1,0
0,1,2,9,11,-1.0,0,0,2,129,0
0,1,0,9,2,-1.0,0,0,2,71,0
0,1,1,1,0,0.0,1,0,0,0,0
1,1,2,1,0,-1.0,0,0,0,0,0
1,1,1,4,13,0.0,0,1,0,51,1
0,1,2,4,0,-1.0,0,0,0,13,0
1,1,1,1,1,-3.0,0,0,0,3,0
0,1,1,9,11,-1.0,1,1,2,1,1
1,1,1,5,1,0.0,0,0,1,6,0
0,1,0,4,0,-1.0,0,0,0,0,0
0,1,1,2,4,0.0,0,0,0,-1,0
1,1,1,8,0,-1.0,0,1,2,30,1
1,1,1,2,0,-1.0,0,1,0,35,1
0,1,1,9,14,-1.0,0,0,2,1,0
1,1,2,1,1,-1.0,1,0,0,1,0
0,1,1,8,25,29.0,0,1,2,25,1
1,1,1,5,8,-1.0,1,1,1,4,1
0,1,1,3,0,0.0,0,0,0,0,0
1,1,0,8,1,0.0,1,1,2,5,1
1,0,0,5,5,-1.0,0,1,1,0,1
0,1,1,3,1,-1.0,1,0,0,0,0
0,1,0,8,1,-1.0,0,1,2,1,1
